RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
U1;HTLoRa-Module;LGA-HTLoRa;49.5;30.3;Top;0;
CN1;SMA_EDGE;SMA-EDGE;66.1;26.7;Top;90;
L1;IND_0805;IND_0805;43.9;23.55;Top;180;15u
C102;CAP_0402;CAP_0402;58.25;26.05;Top;270;
C101;CAP_0402;CAP_0402;62.3;26.05;Top;270;
C1;CAP_0603;CAP_0603;40.85;32.7;Top;180;10u
L101;IND_0402;IND_0402;60.28;26.7;Top;180;
C2;CAP_0603;CAP_0603;40.85;31.3;Top;180;10u
C3;CAP_0402;CAP_0402;41.15;30.05;Top;180;1u
J4;644456-6;HDR-1x6T/2.54/15x2;35.56;26.67;Top;270;
J5;FTS-105-01-L-D;HDR-2x5T/1.27x1.27/6x3;31.85;25.4;Top;270;
J2;ZX62D-B-5PA8;ZX62D-B-5PA8;2.838;7.625;Top;270;
R1;RES_0402;RES_0402;8.8;26;Top;0;
R2;RES_0402;RES_0402;8.8;24.5;Top;0;
R3;RES_0402;RES_0402;8.8;23;Top;0;
D1;APG1608CGKC-T;APG1608;6;26;Top;0;Orange
D2;APG1608CGKC-T;APG1608;6;24.5;Top;0;Green
D3;APG1608CGKC-T;APG1608;6;23;Top;0;Blue
R4;RES_0402;RES_0402;7.175;29;Top;0;
D4;APG1608CGKC-T;APG1608;4.375;29;Top;0;White
R7A;RES_0603;RES_0603;25.9;14.4;Top;90;
J3;S2B-PH-K-S(LF)(SN);JST-2-PTH;4.4;39.5;Top;90;
R5;RES_0402;RES_0402;7.2;30.5;Top;0;
D5;APG1608CGKC-T;APG1608;4.4;30.5;Top;0;Violet
R7B;RES_0603;RES_0603;25.9;11;Top;90;
B1;IND_0402;IND_0402;19.23;17.85;Top;0;
B2;IND_0402;IND_0402;19.23;16.6;Top;180;
C10;CAP_0603;CAP_0603;15.65;19.9;Top;0;22u
C11;CAP_0603;CAP_0603;16.45;17.6;Top;90;22u
C12;CAP_0402;CAP_0402;17.7;17.3;Top;90;1u
C13;CAP_0402;CAP_0402;20.75;17.3;Top;90;1u
C8;CAP_0402;CAP_0402;9.05;34.3;Top;90;1u
B3;IND_0402;IND_0402;19.23;25.4;Top;0;
B4;IND_0402;IND_0402;19.22;24.15;Top;180;
L2;IND_0805;IND_0805;13.1;25.5;Top;270;2.2u
C4;CAP_0603;CAP_0603;15.65;27.45;Top;0;22u
C5;CAP_0603;CAP_0603;16.45;25.15;Top;90;22u
C6;CAP_0402;CAP_0402;17.7;24.85;Top;90;1u
C7;CAP_0402;CAP_0402;20.75;24.85;Top;90;1u
L3;IND_0805;IND_0805;13.1;17.95;Top;270;2.2u
R6;RES_0402;RES_0402;4.65;32.8;Top;270;9.09k
U2;TPS62743;YFP (R-XBGA-N8);14.95;25.5;Top;270;
U3;TPS62743;YFP (R-XBGA-N8);14.95;17.95;Top;270;
U7;STBC08;DFN-6;6.85;33.55;Top;180;
J7;644456-3;HDR-1x3T/2.54/7x2;22.86;12.7;Top;270;
J8;644456-3;HDR-1x3T/2.54/7x2;22.86;25.4;Top;270;
R8B;RES_0603;RES_0603;25.9;23.7;Top;90;
R8A;RES_0603;RES_0603;25.9;27.1;Top;90;
U4;FT230XS;FT230XS (SSOP-16);10.65;8.873;Top;90;
B5;IND_0402;IND_0402;6.52;9.7;Top;180;
U5;TCK106/7/8AG;Micro-Foot 4 type2;10.9;31.15;Top;270;
J9;644456-3;HDR-1x3T/2.54/7x2;22.86;38.1;Top;270;
R9B;RES_0603;RES_0603;25.9;36.4;Top;90;
R9A;RES_0603;RES_0603;25.9;39.8;Top;90;
U6;FPF1320UCX;WLCSP-6, 1.0x1.5mm;12.6;31.45;Top;0;
R10;RES_0402;RES_0402;10.15;34.3;Top;270;100k
C14;CAP_0402;CAP_0402;15.5;32.55;Top;0;1u
D6;DIODE_0402;DIO_0402;11.25;34.3;Top;270;
D7;DIODE_0402;DIO_0402;13.45;34.3;Top;270;
R11;RES_0402;RES_0402;12.35;34.3;Top;90;27
C15;CAP_0402;CAP_0402;15.5;30.35;Top;0;1u
C16;CAP_0402;CAP_0402;15.5;31.45;Top;0;1u
C17;CAP_0402;CAP_0402;5.55;12.35;Top;90;10n
C18;CAP_0402;CAP_0402;15.05;10.8;Top;270;47p
C19;CAP_0402;CAP_0402;15.05;6.95;Top;90;47p
R12;RES_0402;RES_0402;13.95;10.8;Top;90;27
R13;RES_0402;RES_0402;13.95;6.95;Top;270;27
R14;RES_0402;RES_0402;10.8;2.6;Top;270;10k
R15;RES_0402;RES_0402;8.4;2.6;Top;270;10k
C20;CAP_0402;CAP_0402;9.6;2.6;Top;270;100n
C21;CAP_0603;CAP_0603;6.8;12.65;Top;90;10u
D8;APG1608CGKC-T;APG1608;6;20;Top;0;Orange
D9;APG1608CGKC-T;APG1608;6;18.5;Top;0;Green
C9;CAP_0805;CAP_0805;10.35;39.7;Top;270;10u
R16;RES_0402;RES_0402;8.8;20;Top;0;
R17;RES_0402;RES_0402;8.8;18.5;Top;0;
TP1;TESTPOINT;TESTPOINT;43.18;38.1;Top;0;
TP2;TESTPOINT;TESTPOINT;48.26;22.86;Top;0;
J6;644456-4;HDR-1x4T/2.54/10x2;2.54;21.59;Top;90;
J10;644456-4;HDR-1x4T/2.54/10x2;60.96;34.29;Top;270;
S1;B3F-1000;B3F-1;7.7;48.4;Top;0;
C22;CAP_0402;CAP_0402;2.6;49.7;Top;90;47p
R18;RES_0402;RES_0402;2.6;47.1;Top;270;27
